Id,Label
MIMAT0000102,hsa-mir-105-5p
MIMAT0000103,hsa-mir-106a-5p
MIMAT0000680,hsa-mir-106b-5p
MIMAT0026735,hsa-mir-1180-5p
MIMAT0019950,hsa-mir-1245b-5p
MIMAT0005930,hsa-mir-1276
MIMAT0022724,hsa-mir-1277-5p
MIMAT0005886,hsa-mir-1297
MIMAT0004593,hsa-mir-130a-5p
MIMAT0004597,hsa-mir-140-3p
MIMAT0000431,hsa-mir-140-5p
MIMAT0000433,hsa-mir-142-5p
MIMAT0000449,hsa-mir-146a-5p
MIMAT0002809,hsa-mir-146b-5p
MIMAT0000450,hsa-mir-149-5p
MIMAT0000646,hsa-mir-155-5p
MIMAT0000068,hsa-mir-15a-5p
MIMAT0000417,hsa-mir-15b-5p
MIMAT0000069,hsa-mir-16-5p
MIMAT0000070,hsa-mir-17-5p
MIMAT0000072,hsa-mir-18a-5p
MIMAT0001412,hsa-mir-18b-5p
MIMAT0000461,hsa-mir-195-5p
MIMAT0000318,hsa-mir-200b-3p
MIMAT0000617,hsa-mir-200c-3p
MIMAT0000075,hsa-mir-20a-5p
MIMAT0001413,hsa-mir-20b-5p
MIMAT0000076,hsa-mir-21-5p
MIMAT0000271,hsa-mir-214-3p
MIMAT0000280,hsa-mir-223-3p
MIMAT0016895,hsa-mir-2355-5p
MIMAT0000078,hsa-mir-23a-3p
MIMAT0000418,hsa-mir-23b-3p
MIMAT0018000,hsa-mir-23c
MIMAT0000080,hsa-mir-24-3p
MIMAT0000082,hsa-mir-26a-5p
MIMAT0000083,hsa-mir-26b-5p
MIMAT0000084,hsa-mir-27a-3p
MIMAT0000419,hsa-mir-27b-3p
MIMAT0002890,hsa-mir-299-5p
MIMAT0000684,hsa-mir-302a-3p
MIMAT0000715,hsa-mir-302b-3p
MIMAT0000717,hsa-mir-302c-3p
MIMAT0000718,hsa-mir-302d-3p
MIMAT0005931,hsa-mir-302e
MIMAT0000087,hsa-mir-30a-5p
MIMAT0000420,hsa-mir-30b-5p
MIMAT0000244,hsa-mir-30c-5p
MIMAT0000245,hsa-mir-30d-5p
MIMAT0000692,hsa-mir-30e-5p
MIMAT0014990,hsa-mir-3127-5p
MIMAT0015011,hsa-mir-3142
MIMAT0015016,hsa-mir-3145-3p
MIMAT0015037,hsa-mir-3163
MIMAT0015068,hsa-mir-3186-3p
MIMAT0000771,hsa-mir-325
MIMAT0000751,hsa-mir-330-3p
MIMAT0000754,hsa-mir-337-3p
MIMAT0000091,hsa-mir-33a-5p
MIMAT0003301,hsa-mir-33b-5p
MIMAT0004682,hsa-mir-361-3p
MIMAT0017988,hsa-mir-3611
MIMAT0017997,hsa-mir-3617-5p
MIMAT0017999,hsa-mir-3619-5p
MIMAT0018003,hsa-mir-3622a-5p
MIMAT0000721,hsa-mir-369-3p
MIMAT0026483,hsa-mir-370-5p
MIMAT0000724,hsa-mir-372-3p
MIMAT0000726,hsa-mir-373-3p
MIMAT0000727,hsa-mir-374a-5p
MIMAT0004955,hsa-mir-374b-5p
MIMAT0018199,hsa-mir-3924
MIMAT0003329,hsa-mir-411-5p
MIMAT0001341,hsa-mir-424-5p
MIMAT0003393,hsa-mir-425-5p
MIMAT0001536,hsa-mir-429
MIMAT0018992,hsa-mir-4465
MIMAT0019062,hsa-mir-4524a-5p
MIMAT0022255,hsa-mir-4524b-5p
MIMAT0019861,hsa-mir-4735-3p
MIMAT0002820,hsa-mir-497-5p
MIMAT0019897,hsa-mir-499b-5p
MIMAT0002882,hsa-mir-510-5p
MIMAT0026606,hsa-mir-511-3p
MIMAT0005788,hsa-mir-513b-5p
MIMAT0002859,hsa-mir-516b-5p
MIMAT0002869,hsa-mir-519a-3p
MIMAT0002837,hsa-mir-519b-3p
MIMAT0002832,hsa-mir-519c-3p
MIMAT0002853,hsa-mir-519d-3p
MIMAT0002834,hsa-mir-520a-3p
MIMAT0002843,hsa-mir-520b
MIMAT0002846,hsa-mir-520c-3p
MIMAT0002856,hsa-mir-520d-3p
MIMAT0002855,hsa-mir-520d-5p
MIMAT0002825,hsa-mir-520e
MIMAT0002858,hsa-mir-520g-3p
MIMAT0002867,hsa-mir-520h
MIMAT0002849,hsa-mir-524-5p
MIMAT0002836,hsa-mir-526b-3p
MIMAT0003165,hsa-mir-545-3p
MIMAT0004793,hsa-mir-556-3p
MIMAT0003220,hsa-mir-556-5p
MIMAT0022300,hsa-mir-5590-3p
MIMAT0003244,hsa-mir-579-3p
MIMAT0003249,hsa-mir-584-5p
MIMAT0003258,hsa-mir-590-5p
MIMAT0003311,hsa-mir-641
MIMAT0025474,hsa-mir-6509-5p
MIMAT0022272,hsa-mir-664b-3p
MIMAT0018204,hsa-mir-676-3p
MIMAT0027578,hsa-mir-6838-5p
MIMAT0028126,hsa-mir-7114-3p
MIMAT0028216,hsa-mir-7153-5p
MIMAT0004945,hsa-mir-744-5p
MIMAT0010364,hsa-mir-761
MIMAT0030428,hsa-mir-7853-5p
MIMAT0000093,hsa-mir-93-5p
114915,EPB41L4A-AS1
100132891,MSC-AS1
101926978,LINC01111
100507459,NRSN2-AS1
100507098,ADAMTS9-AS2
